ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On
11740889,JC328537,6/29/2019 23:59,133XX S CARONDOLET AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,433,4,10,55,14,2019,6/7/2019 16:09
11740555,JC328065,6/29/2019 23:53,034XX S DR MARTIN LUTHER KING JR DR,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,211,2,4,35,08B,2019,6/7/2019 16:09
11740554,JC328063,6/29/2019 23:53,056XX S HONORE ST,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,715,7,15,67,3,2019,6/7/2019 16:09
11740487,JC328047,6/29/2019 23:50,064XX S LONG AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,813,8,13,64,08B,2019,6/7/2019 16:09
11740575,JC328034,6/29/2019 23:50,069XX S PEORIA ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,FALSE,733,7,6,68,15,2019,6/7/2019 16:09
24625,JC327983,6/29/2019 23:49,060XX S KOMENSKY AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,813,8,23,65,01A,2019,6/7/2019 16:09
11740731,JC328077,6/29/2019 23:45,043XX S OAKENWALD AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,222,2,4,39,08B,2019,6/7/2019 16:09
11741037,JC328692,6/29/2019 23:45,111XX S TROY ST,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2211,22,19,74,6,2019,6/7/2019 16:09
11740999,JC328612,6/29/2019 23:42,006XX S STATE ST,460,BATTERY,SIMPLE,HOTEL/MOTEL,FALSE,FALSE,123,1,4,32,08B,2019,6/7/2019 16:09
11740614,JC328025,6/29/2019 23:40,018XX S SPRINGFIELD AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,TRUE,1014,10,24,29,04A,2019,6/7/2019 16:09
11740678,JC328032,6/29/2019 23:40,055XX S HAMILTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,715,7,15,67,14,2019,6/7/2019 16:09
11740604,JC328119,6/29/2019 23:39,055XX S SEELEY AVE,1479,CONCEALED CARRY LICENSE VIOLATION,ARMED WHILE UNDER THE INFLUENCE,STREET,TRUE,FALSE,715,7,15,67,15,2019,6/7/2019 16:09
11743532,JC331493,6/29/2019 23:30,019XX W 47TH ST,460,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,931,9,15,61,08B,2019,6/7/2019 16:09
11740540,JC328075,6/29/2019 23:30,085XX S PAULINA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,614,6,21,71,08B,2019,6/7/2019 16:09
11740586,JC328028,6/29/2019 23:30,032XX W DOUGLAS BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1022,10,24,29,08B,2019,6/7/2019 16:09
